domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
design,design_library,design_ip_core,license_expiry_date,license_expiry_date,Intellectual Property (IP) Core License Expiry Date,DATE,,,confidential,,master_data,Date on which the IP core license agreement expires or must be renewed. Null for perpetual licenses. Critical for license renewal planning and ensuring design projects do not use expired IP licenses.,SAP S/4HANA MM Contract Management; Oracle Agile PLM; SOX
design,design_library,design_ip_core,license_fee_usd,license_fee_usd,Intellectual Property (IP) Core License Fee USD,"DECIMAL(18,2)",,,confidential,,master_data,One-time or annual license fee paid to the IP vendor in US Dollars (USD). Represents the NRE or access cost component of the IP licensing agreement. Null for open-source or internally developed IP.,SAP S/4HANA FI/CO; NRE (Non-Recurring Engineering) Cost Tracking; SOX Compliance
design,design_library,design_ip_core,license_type,license_type,Intellectual Property (IP) Core License Type,STRING,,,confidential,perpetual|subscription|royalty_bearing|royalty_free|open_source,master_data,"Type of licensing arrangement governing use of this IP core: perpetual (one-time fee, unlimited use), subscription (time-limited access), royalty_bearing (per-unit royalty on shipped products), royalty_free (no per-unit royalty after license fee), open_source (governed by open-source license terms). Drives financial planning and legal compliance.",SAP S/4HANA FI Contract Management; Oracle Agile PLM; ITAR/EAR; SEMI
design,design_library,design_ip_core,lifecycle_status,lifecycle_status,Intellectual Property (IP) Core Lifecycle Status,STRING,,,,active|deprecated|obsolete|under_development|qualification,master_data,"Current lifecycle state of the IP core in the catalog: active (available for new designs), deprecated (supported but not recommended for new designs), obsolete (no longer supported), under_development (not yet released), qualification (in silicon validation). Drives IP selection eligibility and EOL planning.",Oracle Agile PLM Lifecycle Management; JEDEC JESD46 (Product Discontinuance)
design,design_library,design_ip_core,max_frequency_mhz,max_frequency_mhz,Maximum Operating Frequency Megahertz (PPA - Performance),"DECIMAL(12,3)",,,,,master_data,Maximum achievable operating frequency of the IP core in megahertz (MHz) at the characterized process corner (typical/worst-case) for the target process node. Part of the PPA characterization data used for timing closure planning in Synopsys Design Compiler and PrimeTime.,Synopsys Design Compiler; Synopsys PrimeTime STA; IEEE 1685 (IP-XACT)
design,design_library,design_ip_core,mpw_eligible,mpw_eligible,Multi-Project Wafer (MPW) Shuttle Eligibility,BOOLEAN,,,,,master_data,"Indicates whether this IP core is eligible for inclusion in Multi-Project Wafer (MPW) shuttle runs for cost-effective silicon validation (True = MPW eligible; False = not eligible, e.g., due to NDA restrictions or hard macro size constraints).",SEMI MPW Shuttle Programs; Siemens Teamcenter PLM; Oracle Agile PLM
design,design_library,design_ip_core,nda_required,nda_required,Non-Disclosure Agreement (NDA) Required,BOOLEAN,,,,,master_data,"Indicates whether a Non-Disclosure Agreement (NDA) must be in place before design teams can access the IP core documentation, RTL source, or GDSII files (True = NDA required; False = no NDA required). Governs IP access control and legal compliance.",Oracle Agile PLM; SAP S/4HANA MM Contract Management; ITAR/EAR
design,design_library,design_ip_core,power_uw,power_uw,Power Consumption Microwatts (PPA - Power),"DECIMAL(18,6)",,,,,master_data,Characterized typical power consumption of the IP core in microwatts (µW) at the nominal operating voltage and frequency for the target process node. Part of the Power-Performance-Area (PPA) characterization data used for SoC power budget analysis.,IEEE 1685 (IP-XACT); Synopsys PrimeTime PX Power Analysis; JEDEC
design,design_library,design_ip_core,qualification_status,qualification_status,Intellectual Property (IP) Core Qualification Status,STRING,,,,not_started|in_progress|qualified|failed,master_data,"Current qualification status of the IP core against the target process node and foundry: not_started, in_progress (characterization underway), qualified (passed all qualification criteria), failed (qualification failed, remediation required). Distinct from silicon_proven status.",JEDEC JESD47 (Stress-Test-Driven Qualification); IATF 16949; ISO 9001; KLA ICOS Inspection
design,design_library,design_ip_core,release_date,release_date,Intellectual Property (IP) Core Release Date,DATE,,,,,master_data,Date on which this version of the IP core was officially released and made available for design-in use in the internal IP library or vendor catalog. Used for version history tracking and design project planning.,Oracle Agile PLM ECO Release; Siemens Teamcenter PLM; IEEE 1685 (IP-XACT)
design,design_library,design_ip_core,rohs_compliant,rohs_compliant,Restriction of Hazardous Substances (RoHS) Compliance,BOOLEAN,,,,,master_data,Indicates whether the IP core and its associated physical implementation materials comply with the EU RoHS Directive restricting hazardous substances (True = RoHS compliant; False = non-compliant or not assessed). Required for products sold in the EU market.,RoHS Directive (EU 2011/65/EU); REACH Regulation; IPC-1752A Material Declaration
design,design_library,design_ip_core,royalty_rate_pct,royalty_rate_pct,Intellectual Property (IP) Core Royalty Rate Percentage,"DECIMAL(8,4)",,,confidential,,master_data,Per-unit royalty rate expressed as a percentage of the net selling price of the end product incorporating this IP core. Applicable only for royalty_bearing license types. Used for royalty accrual and financial reporting in SAP S/4HANA.,SAP S/4HANA FI/CO Royalty Management; SOX; Oracle Agile PLM
design,design_library,design_ip_core,rtl_language,rtl_language,Register Transfer Level (RTL) Hardware Description Language,STRING,,,,Verilog|SystemVerilog|VHDL|mixed,master_data,"Hardware description language used for the RTL source code of the IP core (Verilog, SystemVerilog, VHDL, or mixed). Relevant only for soft IP and firm IP types. Determines EDA tool compatibility and synthesis flow requirements.",IEEE 1364 (Verilog); IEEE 1800 (SystemVerilog); IEEE 1076 (VHDL); Synopsys Design Compiler
design,design_library,design_ip_core,scan_coverage_pct,scan_coverage_pct,Scan Test Coverage Percentage (DFT),"DECIMAL(5,2)",,,,,master_data,"Percentage of internal logic nodes covered by scan-based DFT test structures, as reported by ATPG tools. Higher coverage reduces DPPM risk. Null if DFT is not applicable (e.g., analog IP).",IEEE 1149.1; JEDEC; ATPG (Automatic Test Pattern Generation); Siemens Tessent
design,design_library,design_ip_core,silicon_proven,silicon_proven,Silicon-Proven Status,BOOLEAN,,,,,master_data,Indicates whether this IP core has been successfully validated in a fabricated silicon device (True = silicon-proven; False = simulation-only or pre-silicon). Silicon-proven status is a critical risk factor in IP selection for production designs.,IEEE 1685 (IP-XACT); SEMI IP Qualification; JEDEC
design,design_library,design_ip_core,silicon_proven_date,silicon_proven_date,Silicon-Proven Validation Date,DATE,,,,,master_data,Date on which the IP core achieved silicon-proven status through successful tape-out and functional validation in fabricated silicon. Null if not yet silicon-proven.,Siemens Teamcenter PLM; Oracle Agile PLM; JEDEC
design,design_library,design_ip_core,source_type,source_type,Intellectual Property (IP) Core Source Type,STRING,,,,internal|third_party|open_source,master_data,"Indicates whether the IP core originates from the internal IP development team, a third-party vendor (e.g., ARM, Synopsys DesignWare, Cadence Tensilica), or an open-source library. Determines licensing obligations, support model, and NRE cost applicability.",Oracle Agile PLM; SEMI IP Reuse; ITAR/EAR Export Classification
design,design_library,design_ip_core,support_tier,support_tier,Intellectual Property (IP) Core Support Tier,STRING,,,,standard|premium|end_of_support,master_data,"Level of technical support available for this IP core: standard (community/documentation support), premium (dedicated FAE support with SLA), end_of_support (no active support, use at own risk). Influences design-in risk assessment and vendor engagement planning.",Oracle Agile PLM; Salesforce CRM Design-Win Tracking; JEDEC JESD46
design,design_library,design_ip_core,timing_model_available,timing_model_available,Timing Model (Liberty) Availability,BOOLEAN,,,,,master_data,Indicates whether Liberty (.lib) timing models are available for this IP core for static timing analysis (True = Liberty models provided; False = not available). Required for timing closure analysis in Synopsys PrimeTime and Cadence Tempus.,Liberty Timing Format; Synopsys PrimeTime; Cadence Tempus STA
design,design_library,design_ip_core,updated_timestamp,updated_timestamp,Record Last Updated Timestamp,TIMESTAMP,,,,,master_data,"Timestamp when this IP core record was most recently modified in the master catalog (yyyy-MM-ddTHH:mm:ss.SSSXXX). Supports change tracking, data lineage, and incremental ETL processing in the Databricks Lakehouse.",SOX; ISO 9001 Record Control; Oracle Agile PLM Change Management
design,design_library,design_ip_core,vendor_name,vendor_name,Intellectual Property (IP) Core Vendor Name,STRING,,,,,master_data,"Name of the third-party IP vendor or licensor (e.g., ARM Holdings, Synopsys, Cadence Design Systems, CEVA). Null for internally developed IP cores. Used for vendor management, license tracking, and procurement.",SAP S/4HANA MM Vendor Master; Oracle Agile PLM Supplier
design,design_library,design_ip_core,vendor_part_number,vendor_part_number,Intellectual Property (IP) Core Vendor Part Number,STRING,,,,,master_data,"Vendor-assigned part number or catalog identifier for the IP core as referenced in the license agreement and vendor documentation (e.g., ARM Cortex-A55 product ID). Enables cross-referencing with vendor portals and procurement systems.",SAP S/4HANA MM; Oracle Agile PLM; JEDEC
design,design_library,design_ip_core,version,version,Intellectual Property (IP) Core Version,STRING,,,,^[0-9]+\.[0-9]+(\.[0-9]+)?([a-zA-Z0-9_-]*)?$,master_data,"Version identifier of the IP core release following semantic versioning (e.g., 2.1.0, r0p4). Tracks revision history and ensures design projects reference the correct IP release.",IEEE 1685 (IP-XACT); Siemens Teamcenter PLM Version Management; Oracle Agile PLM ECO
design,design_library,eda_tool,eda_tool_id,eda_tool_id,Electronic Design Automation (EDA) Tool ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for each EDA tool record in the master catalog. Primary key for the eda_tool data product. Entity role: MASTER_RESOURCE — catalogues a tool asset owned/licensed by the business.,IEEE 1685 (IP-XACT Standard for IP Core Metadata)
design,design_library,eda_tool,certification_id,certification_id,Certification Id (Foreign Key),BIGINT,,compliance.certification.certification_id,,,master_data,Foreign key linking to compliance.certification. Business justification: EDA tools used in regulated designs must be certified; linking tracks tool certification status for compliance audits.,Internal - LLM Generated Cross-Domain Link
design,design_library,eda_tool,annual_license_cost_usd,annual_license_cost_usd,Annual EDA License Cost (USD),"DECIMAL(18,2)",,,confidential,,master_data,"Annual cost of the EDA tool license in US Dollars as contracted with the vendor. For perpetual licenses, represents the annual maintenance and support fee. Used for R&D cost allocation, NRE budgeting, and design cost-per-project analysis in SAP S/4HANA CO.",SAP S/4HANA CO Cost Center Accounting; SOX Section 404; GAAP ASC 350
design,design_library,eda_tool,approved_user_groups,approved_user_groups,Approved EDA Tool User Groups,STRING,,,,,master_data,"Comma-separated list of authorized engineering groups or organizational units permitted to use this EDA tool (e.g., 'IC_Design,Physical_Design,DFT_Engineering'). Used for access control enforcement, license allocation governance, and ITAR/EAR user screening compliance.",ITAR 22 CFR Part 120-130; ISO 27001 Access Control; Workday HCM Org Structure
design,design_library,eda_tool,compute_platform_type,compute_platform_type,EDA Compute Platform Type,STRING,,,,on_premise|cloud|hybrid,master_data,"Deployment model for this EDA tool: 'on_premise' = installed on internal compute farm; 'cloud' = deployed on cloud EDA platform (e.g., AWS, Azure, Cadence Cloud); 'hybrid' = split between on-premise and cloud burst. Drives infrastructure cost allocation and data sovereignty compliance.",CHIPS Act Compliance; EAR/ITAR Export Controls; ISO 27001
design,design_library,eda_tool,concurrent_users_peak,concurrent_users_peak,Peak Concurrent EDA Tool Users,INT,,,,,master_data,"Maximum number of concurrent users or license checkouts observed for this tool during peak design activity periods (e.g., pre-tapeout crunch). Used to assess license adequacy, identify bottlenecks, and justify license pool expansion requests.",EDA Consortium License Utilization Metrics; SAP S/4HANA MM
design,design_library,eda_tool,design_flow_stage,design_flow_stage,IC Design Flow Stage,STRING,,,,,master_data,"Primary IC design flow stage at which this EDA tool is deployed. Maps to the standard front-to-back design flow: rtl_design (RTL coding and simulation), logic_synthesis (RTL-to-netlist via Design Compiler), physical_design (place-and-route via Innovus), signoff (STA/DRC/LVS/PEX), verification (formal/functional), packaging (assembly design), other. [ENUM-REF-CANDIDATE: rtl_design|logic_synthesis|physical_design|signoff|verification|packaging|other — 7 candidates stripped; promote to reference product]",IEEE 1685 (IP-XACT); Cadence Virtuoso/Innovus Flow Documentation; Synopsys Design Compiler Reference
design,design_library,eda_tool,dfm_rule_set_version,dfm_rule_set_version,Design for Manufacturability (DFM) Rule Set Version,STRING,,,,,master_data,"Version identifier of the DFM rule set bundled with or validated against this EDA tool version (e.g., 'TSMC_N5_DFM_v2.1'). Ensures that physical design outputs meet foundry DFM requirements for yield optimization. Critical for tapeout sign-off packages.",SEMI P10; IEEE 1481; TSMC/Samsung Foundry DFM Guidelines
design,design_library,eda_tool,dft_support_flag,dft_support_flag,Design for Testability (DFT) Support Flag,BOOLEAN,,,,,master_data,"Indicates whether this EDA tool includes or supports DFT capabilities such as ATPG, scan insertion, BIST, or boundary scan (IEEE 1149.1 JTAG). True = DFT-capable; False = no DFT support. Used to determine tool eligibility for DFT-required design projects.",IEEE 1149.1 (JTAG Boundary Scan); IEEE 1500 (Embedded Core Test); JEDEC
design,design_library,eda_tool,euv_process_support_flag,euv_process_support_flag,Extreme Ultraviolet (EUV) Lithography Process Support Flag,BOOLEAN,,,,,master_data,"Indicates whether this EDA tool version is validated for use with EUV lithography process nodes (typically sub-7nm). True = EUV-qualified. Relevant for OPC, mask synthesis, and DRC tools where EUV-specific rule decks are required.",SEMI P10; ITRS/IRDS Roadmap; IEEE 1481
design,design_library,eda_tool,export_control_classification,export_control_classification,Export Control Classification (EAR/ITAR),STRING,,,confidential,,master_data,"Export control classification code applicable to this EDA tool under US Export Administration Regulations (EAR) or ITAR (e.g., ECCN '3D002', 'EAR99', 'ITAR Category XV'). Required for compliance with BIS/EAR and ITAR regulations governing the export and re-export of EDA software to foreign nationals and entities.",BIS/EAR Export Administration Regulations; ITAR 22 CFR Part 120-130; CHIPS Act Compliance
design,design_library,eda_tool,flow_integration_point,flow_integration_point,EDA Flow Integration Point,STRING,,,,,master_data,"Description of how this tool integrates into the enterprise EDA design flow, including upstream and downstream tool handoffs (e.g., 'Receives synthesized netlist from Synopsys DC; outputs DEF/LEF to Cadence Innovus; interfaces with PrimeTime for timing constraints'). Used for flow documentation and tool dependency management.",Cadence Virtuoso/Innovus Integration Guide; Synopsys PrimeTime Reference Manual; IEEE 1685
design,design_library,eda_tool,formal_verification_flag,formal_verification_flag,Formal Verification Support Flag,BOOLEAN,,,,,master_data,"Indicates whether this EDA tool supports formal verification methodologies (equivalence checking, model checking, property verification). True = formal verification capable. Used to classify tools for safety-critical design flows (automotive ISO 26262, IEC 61508).",IEEE 1800 (SystemVerilog); ISO 26262 (Automotive Functional Safety); IEC 61508
design,design_library,eda_tool,installation_path,installation_path,EDA Tool Installation Path,STRING,,,,,master_data,"File system path or network mount point where this EDA tool version is installed on the compute infrastructure (e.g., '/tools/synopsys/dc/2023.09'). Used by design flow scripts, Makefiles, and environment setup modules to locate the correct tool binary.",EDA Vendor Installation Guide; Internal IT Infrastructure Standards
design,design_library,eda_tool,itar_controlled_flag,itar_controlled_flag,International Traffic in Arms Regulations (ITAR) Controlled Flag,BOOLEAN,,,confidential,,master_data,"Indicates whether this EDA tool is subject to ITAR controls, restricting its use, transfer, or disclosure to foreign persons without a license. True = ITAR-controlled; False = not ITAR-controlled. Mandatory for compliance with US State Department ITAR regulations.",ITAR 22 CFR Part 120-130; BIS/EAR; CHIPS Act Compliance
design,design_library,eda_tool,last_used_date,last_used_date,EDA Tool Last Used Date,DATE,,,,,master_data,"Most recent date on which a license checkout was recorded for this EDA tool version. Used to identify dormant or underutilized tools for license reclamation, cost optimization, and EOL planning decisions.",EDA Consortium License Utilization Best Practices; SAP S/4HANA CO
design,design_library,eda_tool,license_count,license_count,EDA License Seat Count,INT,,,confidential,,master_data,"Total number of license seats or tokens procured for this EDA tool version. For floating licenses, represents the maximum concurrent user count. For node-locked, represents the number of authorized hosts. Used for license compliance audits and capacity planning.",SAP S/4HANA MM Contract Management; EDA Consortium License Compliance Guidelines
design,design_library,eda_tool,license_expiry_date,license_expiry_date,EDA License Expiry Date,DATE,,,confidential,,master_data,Date on which the current EDA tool license agreement expires. Null for perpetual licenses. Used to trigger renewal workflows in SAP S/4HANA MM and to prevent design flow disruptions due to license lapses. Critical for SOX-compliant software asset management.,SAP S/4HANA MM Contract Management; SOX Section 404; ISO 9001
design,design_library,eda_tool,license_server_host,license_server_host,EDA License Server Hostname,STRING,,,confidential,,master_data,Hostname or IP address of the FlexLM/RLM license server managing floating license pools for this tool. Null for node-locked or cloud-based licenses. Required for license server failover planning and network access control configuration.,EDA Consortium FlexLM License Management Best Practices
design,design_library,eda_tool,license_start_date,license_start_date,EDA License Start Date,DATE,,,confidential,,master_data,Date on which the current EDA tool license agreement becomes effective. Defines the start of the licensed usage period for subscription and term-based licenses. Used alongside license_expiry_date to determine the active license window for compliance reporting.,SAP S/4HANA MM Contract Management; SOX Section 404
design,design_library,eda_tool,license_type,license_type,EDA License Type,STRING,,,confidential,node_locked|floating|subscription|cloud|perpetual,master_data,Licensing model under which the EDA tool is procured and deployed. 'node_locked' = tied to a specific compute host; 'floating' = shared pool via FlexLM/RLM license server; 'subscription' = time-limited SaaS or annual term; 'cloud' = consumption-based cloud deployment; 'perpetual' = one-time purchase with optional maintenance. Governs compliance obligations and cost allocation.,SAP S/4HANA MM Contract Management; JEDEC; EDA Consortium License Compliance Guidelines
design,design_library,eda_tool,license_utilization_pct,license_utilization_pct,EDA License Utilization Percentage,"DECIMAL(5,2)",,,,,master_data,"Average license utilization rate expressed as a percentage of total licensed seats consumed over the most recent reporting period (e.g., 78.50 = 78.5%). Calculated as (average concurrent checkouts / total license count) × 100. Used for license optimization, rightsizing, and vendor negotiation.",EDA Consortium License Utilization Best Practices; SAP S/4HANA CO
design,design_library,eda_tool,maintenance_renewal_date,maintenance_renewal_date,EDA Tool Maintenance Renewal Date,DATE,,,confidential,,master_data,"Date by which the annual maintenance and support contract for this EDA tool must be renewed to maintain access to patches, updates, and vendor support. Triggers procurement renewal workflow in SAP S/4HANA MM. Distinct from license_expiry_date for perpetual licenses.",SAP S/4HANA MM Contract Management; SOX Section 404
design,design_library,eda_tool,pdk_compatibility_version,pdk_compatibility_version,Process Design Kit (PDK) Compatibility Version,STRING,,,,,master_data,"Specific PDK version string with which this EDA tool version has been validated for correct DRC, LVS, and parasitic extraction results (e.g., 'TSMC_N5_PDK_v1.3', 'Samsung_SF3_PDK_v2.0'). Ensures design rule compliance and sign-off accuracy for tapeout submissions.",SEMI P10 PDK Standard; IEEE 1481; Foundry PDK Release Notes
design,design_library,eda_tool,qualification_date,qualification_date,EDA Tool Qualification Date,DATE,,,,,master_data,Date on which the EDA tool version was formally qualified and approved for production use in the enterprise design flow. Recorded in Oracle Agile PLM as part of the design tool change management record. Required for design audit trails and tapeout sign-off packages.,ISO 9001:2015 Clause 8.3; Oracle Agile PLM Change Management; IATF 16949
design,design_library,eda_tool,qualification_status,qualification_status,EDA Tool Qualification Status,STRING,,,,qualified|in_qualification|not_qualified|waived,master_data,Formal qualification status of the EDA tool version against the enterprise design methodology and PDK. 'qualified' = passed all DRM/DFM/DFT checks and approved for production tapeouts; 'in_qualification' = undergoing validation; 'not_qualified' = failed or not yet tested; 'waived' = approved with documented exceptions. Required for ISO 9001 and IATF 16949 design control compliance.,ISO 9001:2015 Clause 8.3 (Design and Development); IATF 16949; SEMI Standards
design,design_library,eda_tool,qualified_by,qualified_by,EDA Tool Qualified By (Engineer),STRING,,,,,master_data,Name or employee ID of the CAD/EDA engineer or team responsible for qualifying this tool version. Provides accountability for the qualification sign-off and is referenced in design methodology documentation and audit packages.,ISO 9001:2015 Clause 8.3; IATF 16949; Oracle Agile PLM
